Title,PositiveReview,NegativeReview,Score,GuestCountry,RoomType,NumberOfNights,VisitDate,GroupType,PropertyResponse,CharacterLenTitle,CharacterLenPropertyResponse,CharacterLenPositive,CharacterLenNegative,Score2,PropertyResponseYesOrNo,CLT_bins,CLP_bins,CLN_bins
Wonderful place to stay.,"New, comfortable apartments, close to the airport, to very clean beach.
Staff is extremely helpful and easy to communicate with 
Tasty food on the first floor, comfortable restaurant for both cozy evenings and calm work to escape the heat in the midday",Nothing at all.,10.0,Norway,Budget Twin Room,1,2022-06-01,Solo,,24,0,252,15,10.0,Yes,3,5,2
It was superb,"We had a really pleasant stay! The staff was very nice and helpful! The room was very clean, well decorated and modern, although not big. Also, the breakfast was amazing, fresh and handmade! Especially vegetarian version with humus. The cook is great, and all staff was very kind and helpful. I like hotels with a family atmosphere, cozy and not big. I recommend it.",,10.0,Poland,Double Room,3,2022-12-01,Family,,13,0,366,0,10.0,Yes,2,5,1
Very good,the location is great and near the airport. bus stop is very close.,,8.0,Sweden,Double Room,1,2022-12-01,Solo,,9,0,67,0,8.0,Yes,1,5,1
Wonderful,"Great stuff
Great Quality/price
Clean",,9.0,United Kingdom,Double Room with Balcony,2,2022-09-01,Solo,,9,0,37,0,9.0,Yes,1,4,1
"Fantastic value for a new, modern and spotless hotel with lovely management","Clean and modern with very comfortable beds, in a very convenient location.  An easy stroll to numerous nice restaurants and a great beach.",,10.0,Switzerland,Family Suite with Balcony,1,2022-10-01,Family,,75,0,139,0,10.0,Yes,5,5,1
Wonderful,We only stayed over night before heading to the airport. The room was exceptionally clean with a really comfortable bed,,9.0,United Kingdom,Double Room with Balcony,1,2022-12-01,Couple,,9,0,119,0,9.0,No,1,5,1
Lovely stop over,great,,8.0,United Kingdom,Two-Bedroom Suite,1,2022-10-01,Family,,16,0,5,0,8.0,No,2,1,1
Great place for few days to stay,"nice location, lovely personal, renovated,",nothing,10.0,Cyprus,Double Room,1,2022-11-01,Couple,,32,0,42,7,10.0,No,4,5,1
Such helpful hosts.helped us with map .helps with looking after luggage.patient and understanding,couldn't eat breakfast due to dietary restrictions-but very helpful host showed us how nearby bus takes to town-cntre (and airport by the way so no need for 21 euro taxi),maybe possibility of purchasing fresh fruit or veg,10.0,Israel,Double Room,1,2022-11-01,Family,,97,0,170,50,10.0,No,5,5,5
Great overnight stay before a flight.,Great modern room comfortable bed and quiet location.,,10.0,United Kingdom,Double Room,1,2022-12-01,Solo,,37,0,53,0,10.0,No,4,5,1
Exceptional,"My second time here and true to say it was better than the first which was excellent..
The staff here are amazing beyond expectations..*****
Maria at reception is just great she really took time to explain where to go how to get there and so helpful ... 🙏
Richard the chef this guy is like the friendliest guy ever, such a nice guy with a permanent. Smile 😁
Oh yeah the food is great to and very reasonable prices ..
Even the cleaning lady is so friendly and so nice to talk to .
The rooms are spacious and clean great to stay .. I even got an upgrade which is always so nice.
The owners are also great it's like a real caring family set up ...
The bus stop which goes to and from the airport as well as the town center is a minutes walk away and just 2 euros 
I don't think I need to mention where I'll be staying next time I'm in Larnaka.. 😊
Brilliant guys ... 🙏🙏🙏",,10.0,Thailand,Double Room with Balcony,3,2022-12-01,Family,Thank you so much for all your nice comments. It was our pleasure hosting you another time. Hope to see you again soon.,11,119,866,0,10.0,No,2,5,1
"Easy to get to and park. lovely hotel, great hosts",The staff were exceptional. So helpful and friendly. Went out of their way for us. The breakfast was lovely with room service too. Very clean and comfortable.,Couldn’t stay longer,10.0,United Kingdom,Two-Bedroom Suite,1,2022-10-01,Family,,50,0,158,20,10.0,No,5,5,2
Exceptional,"We stayed 1 week and enjoyed it very much. The rooms are lovely and new, very clean and comfortable. The mattress was to my taste. Short drive to the airport and very well located, just a short walk from the promenade, coffee shops restaurants. The staff are so welcoming, we felt like staying with family. We would definitely stay again on our next visit to Larnaca. Thank you so much for the great time we had with you.",,10.0,United States of America,Two-Bedroom Suite,7,2022-12-01,Couple,,11,0,421,0,10.0,Yes,2,5,1
